symbol,lastPrice,pChange
ONGC,259.05,5.48
BEL,293.0,4.33
LT,3757.0,4.26
BPCL,297.3,4.01
SHRIRAMFIN,2957.65,3.78
SBIN,845.45,3.6
APOLLOHOSP,7115.6,2.6
ADANIPORTS,1163.15,2.32
WIPRO,583.7,2.11
TRENT,6787.6,2.03
RELIANCE,1290.95,2.02
ICICIBANK,1303.0,1.95
HDFCBANK,1778.95,1.91
POWERGRID,343.3,1.88
TCS,4320.0,1.78
KOTAKBANK,1792.0,1.73
ADANIENT,2265.2,1.67
HEROMOTOCO,4866.5,1.51
BRITANNIA,4918.0,1.44
CIPLA,1507.45,1.41
GRASIM,2632.0,1.28
AXISBANK,1156.7,1.25
HINDALCO,660.05,1.22
HINDUNILVR,2474.95,1.21
COALINDIA,418.95,1.18
M&M,3047.6,1.15
TATACONSUM,955.6,1.1
SBILIFE,1499.8,0.99
NTPC,369.0,0.97
BHARTIARTL,1583.45,0.9
ULTRACEMCO,11469.8,0.83
SUNPHARMA,1810.0,0.82
TATAMOTORS,797.4,0.81
TATASTEEL,143.87,0.76
ITC,478.15,0.74
NESTLEIND,2263.85,0.74
BAJAJFINSV,1612.0,0.7
INDUSINDBK,1004.0,0.58
EICHERMOT,5009.0,0.46
TITAN,3318.0,0.28
BAJFINANCE,6700.05,0.24
HDFCLIFE,688.9,0.1
DRREDDY,1215.0,0.05
ASIANPAINT,2470.7,-0.06
HCLTECH,1896.0,-0.13
BAJAJ-AUTO,9445.0,-0.39
MARUTI,11003.2,-0.55
INFY,1891.0,-0.59
TECHM,1735.0,-0.71
JSWSTEEL,954.7,-2.32
